epoch_idx	precision@10	recall@10	ndcg@10	precision@20	recall@20	ndcg@20	precision@40	recall@40	ndcg@40	precision@80	recall@80	ndcg@80	precision@100	recall@100	ndcg@100
10.0	0.07019074261188507	0.35122615098953247	0.21689107495622778	0.05081744119524956	0.5084468722343445	0.2652255404129628	0.03412806987762451	0.6831062436103821	0.30901953410903665	0.0209604911506176	0.8392370343208313	0.34193372619180173	0.01764032430946827	0.8831062912940979	0.35020531844064
20.0	0.07231608033180237	0.36185285449028015	0.22708744748943827	0.051743876188993454	0.5177111625671387	0.275145266864557	0.03525886312127113	0.7054495811462402	0.3222196673947898	0.02136239968240261	0.855858325958252	0.35374732193957803	0.017858309671282768	0.8942779302597046	0.36098399115743673
30.0	0.07673025876283646	0.3839237093925476	0.24457097977005005	0.05425068736076355	0.542779266834259	0.29342455312239557	0.035694822669029236	0.7144414186477661	0.33640555379737874	0.021628066897392273	0.8662125468254089	0.36825966321059195	0.018016347661614418	0.9021798372268677	0.37503119079583297
40.0	0.07716621458530426	0.3863760232925415	0.25390733834842544	0.0540054515004158	0.5405994653701782	0.3016577778156005	0.035994552075862885	0.7209809422492981	0.3471329685793732	0.021655315533280373	0.8673024773597717	0.3778904898114556	0.018081743270158768	0.905177116394043	0.3850252078194931
50.0	0.07798365503549576	0.3904632031917572	0.25297301742641315	0.055722080171108246	0.5577656626701355	0.3044331910776221	0.036539509892463684	0.7316076159477234	0.3481785895637581	0.021777931600809097	0.8722071051597595	0.3777498575573649	0.018168935552239418	0.9095367789268494	0.38479605737337086
60.0	0.07923707365989685	0.3964577615261078	0.2559561749562852	0.056811995804309845	0.5686648488044739	0.3091115011777427	0.03638964891433716	0.7286103367805481	0.3493691956391973	0.021702999249100685	0.8692098259925842	0.3788652869210977	0.018043596297502518	0.9032697677612305	0.3852922745094252
70.0	0.07929155975580215	0.3970027267932892	0.25449069797621576	0.056675758212804794	0.5675749182701111	0.3071409780972223	0.03678474575281143	0.7365122437477112	0.34981887362272335	0.02177111990749836	0.8719345927238464	0.3782292193368746	0.018190734088420868	0.9106267094612122	0.38552540804745883
80.0	0.08136239647865295	0.40708446502685547	0.26409389837359537	0.057138971984386444	0.5722070932388306	0.3151414006065886	0.03664850443601608	0.7340599298477173	0.356062294835237	0.021641690284013748	0.8667575120925903	0.383938130853416	0.018125340342521667	0.9073569774627686	0.3915871113266928
90.0	0.08168938755989075	0.40899181365966797	0.26551155932058373	0.057057227939367294	0.5711171627044678	0.31583153517873763	0.036934610456228256	0.7397820353507996	0.35837087720334193	0.02171662449836731	0.8697547912597656	0.38564509467535907	0.018136238679289818	0.9079018831253052	0.39283803890819263
100.0	0.08408720046281815	0.42070844769477844	0.27434631114276353	0.058065399527549744	0.5814713835716248	0.32419038943255385	0.03686648607254028	0.7381471395492554	0.36375703829863104	0.021730247884988785	0.870299756526947	0.39140939266489805	0.018147137016057968	0.9084468483924866	0.3985899640818116
110.0	0.08370572328567505	0.41907358169555664	0.2736103942480492	0.05871935561299324	0.5880109071731567	0.32600554487591965	0.03715258836746216	0.7438691854476929	0.3652432331088107	0.021737059578299522	0.8705722093582153	0.39191830666748884	0.018158037215471268	0.908991813659668	0.3991548702106721
